player_id,web_name,team,position,predicted_points,actual_points,error,expected_minutes,actual_minutes
426,B.Fernandes,MUN,MID,6.3,2,4.3,90.0,90
367,Gakpo,LIV,MID,6.24,1,5.24,83.6,30
572,Tzolakis,HUL,GKP,5.93,2,3.93,90.0,90
411,Haaland,MCI,FWD,5.9,9,-3.1,90.0,90
69,Scott,BOU,MID,5.76,4,1.76,88.7,90
279,Ajayi,HUL,DEF,5.71,1,4.71,84.0,90
277,Egan,HUL,DEF,5.48,2,3.48,90.0,90
165,João Pedro,CHE,FWD,5.4,12,-6.6,90.0,90
12,Saka,ARS,MID,5.36,8,-2.64,84.4,90
98,Janelt,BRE,MID,5.3,4,1.3,90.0,90
427,Mbeumo,MUN,MID,5.3,2,3.3,90.0,90
68,Tavernier,BOU,MID,5.27,8,-2.73,89.1,82
154,Palmer,CHE,MID,5.27,5,0.27,88.2,90
15,Ødegaard,ARS,MID,5.23,3,2.23,73.9,84
379,Isak,LIV,FWD,5.21,2,3.21,77.7,90
391,Gvardiol,MCI,DEF,5.17,11,-5.83,84.9,90
229,Tarkowski,EVE,DEF,5.15,8,-2.85,90.0,90
10,White,ARS,DEF,4.98,1,3.98,90.0,45
388,Guéhi,MCI,DEF,4.98,6,-1.02,90.0,90
399,Cherki,MCI,MID,4.98,1,3.98,61.6,45
268,King,FUL,MID,4.97,3,1.97,90.0,76
335,Stach,LEE,MID,4.97,3,1.97,90.0,87
282,Giles,HUL,DEF,4.96,4,0.96,88.7,90
40,Rogers,CHE,MID,4.87,8,-3.13,86.2,90
115,De Cuyper,BHA,DEF,4.86,11,-6.14,80.7,90
8,Calafiori,ARS,DEF,4.84,6,-1.16,76.8,90
480,Gibbs-White,NFO,MID,4.8,8,-3.2,90.0,90
544,Xhaka,SUN,MID,4.8,1,3.8,90.0,90
86,Lewis-Potter,BRE,MID,4.78,1,3.78,89.0,59
586,Mendy,HUL,DEF,4.75,1,3.75,64.6,58
504,Vuskovic,BHA,DEF,4.65,6,-1.35,90.0,77
449,Hall,NEW,DEF,4.63,0,4.63,89.5,90
453,Barnes,NEW,MID,4.63,2,2.63,90.0,90
330,Bogle,LEE,DEF,4.52,15,-10.48,68.9,82
124,Groß,BHA,MID,4.47,17,-12.53,90.0,90
454,Elanga,NEW,MID,4.44,0,4.44,77.4,0
237,Ndiaye,MCI,MID,4.41,1,3.41,88.2,45
26,Havertz,ARS,FWD,4.37,1,3.37,84.1,90
332,Justin,LEE,DEF,4.32,2,2.32,90.0,90
236,Dewsbury-Hall,EVE,MID,4.3,2,2.3,90.0,90
368,Szoboszlai,LIV,MID,4.3,3,1.3,90.0,90
94,Schade,BRE,MID,4.28,15,-10.72,89.0,90
4,Gabriel,ARS,DEF,4.15,9,-4.85,90.0,90
469,N.Williams,NFO,DEF,4.15,2,2.15,90.0,90
1,Raya,ARS,GKP,4.1,14,-9.9,90.0,90
385,Trafford,LEE,GKP,4.1,3,1.1,90.0,90
204,Mitchell,CRY,DEF,4.07,1,3.07,82.2,76
173,Thomas,COV,DEF,4.06,0,4.06,85.8,90
242,George,EVE,MID,4.05,3,1.05,79.2,64
464,Wissa,NEW,FWD,4.0,2,2.0,87.1,90
334,Muharemović,LEE,DEF,3.98,7,-3.02,90.0,90
397,Semenyo,MCI,MID,3.97,3,0.97,90.0,90
565,M.Sangaré,BRE,MID,3.97,4,-0.03,66.1,90
127,Gomez,BHA,MID,3.95,3,0.95,88.9,83
286,Belloumi,HUL,MID,3.95,13,-9.05,83.3,59
542,E.Le Fée,SUN,MID,3.93,0,3.93,87.2,90
13,Rice,ARS,MID,3.86,6,-2.14,82.9,80
87,Ajer,BRE,DEF,3.82,1,2.82,90.0,90
230,Branthwaite,EVE,DEF,3.82,6,-2.18,90.0,90
593,Dedić,NEW,DEF,3.82,0,3.82,90.0,57
472,Murillo,NFO,DEF,3.8,6,-2.2,89.5,90
249,Barry,EVE,FWD,3.72,2,1.72,80.6,90
432,Mainoo,MUN,MID,3.72,4,-0.28,68.3,90
428,Cunha,MUN,MID,3.71,2,1.71,74.4,90
258,Castagne,FUL,DEF,3.66,6,-2.34,82.6,71
471,Milenković,NFO,DEF,3.65,0,3.65,90.0,0
532,Ballard,SUN,DEF,3.65,0,3.65,90.0,90
79,Evanilson,BOU,FWD,3.63,5,-1.37,83.2,90
290,Slater,HUL,MID,3.63,2,1.63,90.0,90
244,Armstrong,EVE,MID,3.61,3,0.61,88.7,90
591,Enciso,IPS,MID,3.59,2,1.59,85.5,90
569,Gonzalo,FUL,FWD,3.57,2,1.57,90.0,76
533,Mukiele,SUN,DEF,3.56,0,3.56,69.9,90
88,Kayode,BRE,DEF,3.54,1,2.54,65.1,19
233,Mykolenko,EVE,DEF,3.48,11,-7.52,90.0,90
214,Kamada,CRY,MID,3.44,8,-4.56,89.1,83
82,Kelleher,BRE,GKP,3.43,3,0.43,90.0,90
226,Pickford,EVE,GKP,3.43,6,-2.57,90.0,90
377,Munoz,LIV,MID,3.36,1,2.36,63.6,59
346,Calvert-Lewin,LEE,FWD,3.35,10,-6.65,81.8,77
597,Suzuki,AVL,GKP,3.35,2,1.35,69.9,90
96,Damsgaard,BRE,MID,3.32,1,2.32,63.7,30
112,Van Hecke,TOT,DEF,3.32,8,-4.68,90.0,90
116,Dunk,BHA,DEF,3.32,12,-8.68,90.0,90
390,Rúben,MCI,DEF,3.32,6,-2.68,90.0,90
474,Jair Cunha,NFO,DEF,3.32,0,3.32,90.0,0
338,Ampadu,LEE,MID,3.3,7,-3.7,90.0,90
211,Yeremy,CRY,MID,3.29,1,2.29,69.4,36
557,Tzolis,ARS,MID,3.28,3,0.28,72.3,80
350,A.Becker,LIV,GKP,3.27,9,-5.73,90.0,90
384,Donnarumma,MCI,GKP,3.27,7,-3.73,90.0,90
567,Horníček,NEW,GKP,3.27,1,2.27,90.0,90
605,Yalcouyé,BHA,MID,3.26,8,-4.74,65.3,64
366,Wirtz,LIV,MID,3.24,3,0.24,83.7,90
295,McBurnie,HUL,FWD,3.23,4,-0.77,90.0,81
455,Tonali,TOT,MID,3.21,3,0.21,84.9,90
483,Ndoye,NFO,MID,3.19,1,2.19,60.9,74
200,Lacroix,CHE,DEF,3.15,1,2.15,90.0,4
305,Davis,IPS,DEF,3.15,14,-10.85,90.0,90
356,Virgil,LIV,DEF,3.15,8,-4.85,90.0,90
447,Botman,NEW,DEF,3.15,2,1.15,90.0,90
536,Reinildo,SUN,DEF,3.15,-2,5.15,90.0,90
393,Khusanov,MCI,DEF,3.14,0,3.14,89.4,0
210,Wharton,CRY,MID,3.13,2,1.13,90.0,76
109,Verbruggen,BHA,GKP,3.1,8,-4.9,90.0,90
467,Sels,NFO,GKP,3.1,3,0.1,90.0,90
496,Kinsky,TOT,GKP,3.1,7,-3.9,90.0,90
529,Roefs,SUN,GKP,3.1,2,1.1,90.0,90
43,Tielemans,MUN,MID,3.08,2,1.08,84.6,66
316,Emersonn,IPS,FWD,3.08,12,-8.92,58.6,62
570,Palacios,FUL,MID,3.08,0,3.08,67.5,0
516,Bentancur,TOT,MID,3.04,3,0.04,79.9,62
267,Lukić,IPS,MID,3.03,1,2.03,84.2,76
362,Jacquet,LIV,DEF,3.02,9,-5.98,80.8,90
481,Anderson,MCI,MID,3.02,5,-1.98,80.9,90
138,Kostoulas,BHA,FWD,3.01,10,-6.99,72.2,83
445,Thiaw,NEW,DEF,2.98,2,0.98,90.0,90
47,Kamara,AVL,MID,2.97,2,0.97,90.0,90
558,Schlager,NFO,MID,2.96,3,-0.04,73.4,90
156,Neto,CHE,MID,2.95,2,0.95,61.1,85
486,McAtee,NFO,MID,2.93,3,-0.07,86.2,81
503,Van de Ven,TOT,DEF,2.93,6,-3.07,69.9,90
460,Willock,NEW,MID,2.91,1,1.91,58.3,32
315,Fatawu,IPS,MID,2.9,1,1.9,76.4,61
280,Coyle,HUL,DEF,2.87,1,1.87,58.6,81
46,Barkley,AVL,MID,2.86,2,0.86,82.0,62
541,Meunier,SUN,DEF,2.86,2,0.86,77.7,75
551,N.Angulo,SUN,MID,2.84,2,0.84,62.2,69
114,Boscagli,BHA,DEF,2.82,6,-3.18,90.0,77
259,Diop,IPS,DEF,2.82,1,1.82,90.0,90
304,O'Shea,IPS,DEF,2.82,1,1.82,90.0,90
418,Maguire,MUN,DEF,2.82,1,1.82,90.0,90
566,Silva,BOU,DEF,2.82,3,-0.18,90.0,90
36,Maatsen,AVL,DEF,2.8,1,1.8,80.7,90
41,Buendía,AVL,MID,2.8,2,0.8,81.6,62
184,Grimes,COV,MID,2.8,2,0.8,90.0,83
459,L.Miley,NEW,MID,2.79,0,2.79,73.9,79
67,Rayan,BOU,MID,2.78,2,0.78,88.6,81
499,Pedro Porro,TOT,DEF,2.78,0,2.78,69.9,0
7,Lewis-Skelly,ARS,MID,2.75,1,1.75,72.6,45
261,Iwobi,FUL,MID,2.73,3,-0.27,86.3,76
423,Shaw,MUN,DEF,2.73,0,2.73,84.2,0
70,Kluivert,BOU,MID,2.72,8,-5.28,76.4,65
644,Timber,CRY,MID,2.72,4,-1.28,73.0,90
398,Foden,MCI,MID,2.71,-2,4.71,57.8,22
32,Cash,AVL,DEF,2.7,0,2.7,83.1,0
161,Lavia,CHE,MID,2.7,2,0.7,62.7,68
552,Brobbey,SUN,FWD,2.7,1,1.7,76.0,90
51,George Hemmings,AVL,MID,2.69,1,1.69,76.3,45
514,Tel,TOT,MID,2.67,1,1.67,74.9,27
264,Bobb,FUL,MID,2.66,3,-0.34,71.8,62
37,Lindelöf,AVL,DEF,2.65,1,1.65,90.0,90
60,Hill,BOU,DEF,2.65,2,0.65,90.0,90
175,van Ewijk,COV,DEF,2.65,0,2.65,90.0,90
545,Sadiki,SUN,MID,2.64,2,0.64,82.2,90
246,Röhl,EVE,MID,2.63,0,2.63,81.1,0
45,McGinn,AVL,MID,2.62,6,-3.38,88.0,90
57,Petrović,BOU,GKP,2.6,1,1.6,90.0,90
148,Hato,CHE,DEF,2.6,0,2.6,70.0,45
250,Leno,FUL,GKP,2.6,9,-6.4,90.0,90
564,Scherpen,IPS,GKP,2.6,1,1.6,90.0,90
358,Kerkez,LIV,DEF,2.56,1,1.56,83.6,45
106,Thiago,BRE,FWD,2.55,1,1.55,88.2,90
61,Truffert,BOU,DEF,2.48,3,-0.52,90.0,90
588,Khalaili,CRY,DEF,2.46,7,-4.54,72.6,90
110,Rushworth,COV,GKP,2.43,0,2.43,90.0,90
176,Dasilva,COV,DEF,2.43,0,2.43,87.3,90
198,Henderson,CRY,GKP,2.43,0,2.43,90.0,0
412,Lammens,MUN,GKP,2.43,2,0.43,90.0,90
562,Maeda,IPS,MID,2.43,1,1.43,70.4,27
429,Rashford,MUN,MID,2.42,2,0.42,66.8,82
327,Bijol,LEE,DEF,2.41,0,2.41,47.8,0
579,Araujo,LIV,DEF,2.39,6,-3.61,49.7,71
619,Palacios,IPS,MID,2.39,4,-1.61,56.8,90
492,Awoniyi,COV,FWD,2.38,-2,4.38,65.2,52
534,Hume,SUN,DEF,2.37,0,2.37,58.3,0
372,Mac Allister,LIV,MID,2.36,1,1.36,68.2,30
182,Amenda,COV,DEF,2.32,0,2.32,90.0,90
202,Richards,CRY,DEF,2.32,2,0.32,90.0,90
401,Marmoush,TOT,FWD,2.32,2,0.32,66.7,76
224,Nketiah,CRY,FWD,2.29,0,2.29,54.3,0
473,Aina,NFO,DEF,2.29,2,0.29,70.0,90
576,Stroud,HUL,MID,2.28,1,1.28,62.5,59
28,Martinez,CHE,GKP,2.27,2,0.27,69.9,90
166,N.Jackson,AVL,FWD,2.21,0,2.21,60.7,45
254,Robinson,FUL,DEF,2.21,6,-3.79,82.5,90
183,Rudoni,COV,MID,2.2,2,0.2,55.2,72
336,Okafor,LEE,MID,2.18,9,-6.82,55.0,71
419,Martinez,MUN,DEF,2.16,2,0.16,69.9,90
151,Acheampong,CHE,DEF,2.15,0,2.15,68.3,0
257,Bassey,FUL,DEF,2.15,6,-3.85,90.0,90
598,Elvedi,LEE,DEF,2.11,2,0.11,59.0,90
345,Tanaka,LEE,MID,2.05,6,-3.95,47.3,71
405,N.Gonzalez,NEW,MID,2.03,1,1.03,57.1,18
417,Dalot,MUN,DEF,2.02,2,0.02,63.5,90
491,Igor Jesus,NFO,FWD,2.02,7,-4.98,63.1,15
33,Mings,AVL,DEF,2.01,0,2.01,44.7,65
64,Smith,BOU,DEF,1.98,0,1.98,90.0,90
203,Canvot,CRY,DEF,1.98,0,1.98,90.0,0
306,Greaves,IPS,DEF,1.98,1,0.98,90.0,87
73,Adams,BOU,MID,1.95,2,-0.05,44.3,81
265,Berge,FUL,MID,1.94,3,-1.06,55.6,90
129,Ayari,BHA,MID,1.93,8,-6.07,55.2,90
502,Robertson,TOT,DEF,1.91,7,-5.09,54.8,90
145,Fofana,CHE,DEF,1.89,1,0.89,62.5,85
71,Cook,BOU,MID,1.87,0,1.87,44.9,8
253,Andersen,FUL,DEF,1.85,0,1.85,69.9,0
580,Charles,FUL,MID,1.8,5,-3.2,47.8,90
31,Konsa,ARS,DEF,1.79,6,-4.21,44.6,90
553,Isidor,SUN,FWD,1.79,1,0.79,25.3,20
589,Gourna-Douath,HUL,MID,1.79,0,1.79,51.4,0
575,Yirenkyi,COV,MID,1.78,1,0.78,48.4,17
222,Strand Larsen,CRY,FWD,1.77,8,-6.23,46.4,83
113,F.Kadıoğlu,BHA,DEF,1.74,6,-4.26,63.9,90
186,Mason-Clark,COV,MID,1.74,1,0.74,50.2,59
95,O.Dango,BRE,MID,1.72,1,0.72,44.6,30
142,James,CHE,DEF,1.72,1,0.72,68.3,90
153,Disasi,CRY,DEF,1.71,-3,4.71,46.2,33
104,Onyeka,COV,MID,1.7,2,-0.3,48.4,72
11,Mosquera,ARS,DEF,1.69,0,1.69,33.8,0
